,age,nationality,club,overall,potential,value_eur,preferred_foot,international_reputation,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,main_position,bmi
9690,27,9,597,66,66,650000,1,1,3,2,65.0,61.0,64.0,65.0,61.0,70.0,58,58,57,66,46,62,63,62,66,65,66,64,73,64,75,69,71,75,68,64,68,59,60,65,60,67,60,63,61,62,62,62,62,63,63,63,62,64,64,64,63,64,64,64,63,63,64,64,64,63,62,62,62,62,62,5,22.857142857142858
9691,29,13,607,66,66,650000,1,1,3,3,74.0,61.0,60.0,65.0,48.0,69.0,56,63,65,64,64,62,49,57,60,64,72,76,77,67,76,63,83,77,71,56,50,49,65,60,55,64,50,44,33,65,65,65,64,64,64,64,64,63,63,63,64,61,61,61,64,57,56,56,56,57,56,54,54,54,56,1,20.756387167668876
9692,31,58,504,66,66,575000,1,1,3,3,73.0,59.0,59.0,65.0,54.0,70.0,64,56,46,59,55,65,54,62,56,66,74,73,67,62,67,64,79,82,63,56,70,51,65,58,71,60,58,57,48,61,61,61,63,62,62,62,63,62,62,62,64,61,61,61,64,61,59,59,59,61,60,57,57,57,60,10,23.671253629592222
9693,29,23,594,66,66,625000,1,1,4,2,72.0,69.0,65.0,62.0,50.0,64.0,61,67,62,67,57,61,54,73,63,66,74,71,55,63,67,77,68,70,66,68,51,52,62,68,74,68,40,56,49,66,66,66,65,66,66,66,65,65,65,65,65,64,64,64,65,59,58,58,58,59,59,55,55,55,59,3,23.503556057507403
9694,33,21,501,66,66,300000,1,1,3,2,45.0,32.0,38.0,39.0,64.0,80.0,22,28,72,45,27,38,32,29,43,44,40,49,26,48,40,43,77,72,86,25,77,58,45,40,43,50,63,66,63,45,45,45,38,41,41,41,38,40,40,40,41,45,45,45,41,51,56,56,56,51,54,64,64,64,54,4,25.97867956642479
9695,27,9,240,66,66,575000,0,1,2,2,52.0,28.0,43.0,48.0,66.0,72.0,38,18,68,54,35,41,22,40,46,54,52,52,54,62,60,37,68,69,82,39,54,65,21,31,32,60,66,66,65,43,43,43,42,41,41,41,42,42,42,42,44,48,48,48,44,57,59,59,59,57,59,65,65,65,59,4,24.20866305705956
9696,28,7,499,66,66,550000,1,1,3,2,68.0,47.0,61.0,62.0,64.0,72.0,64,39,62,62,46,59,58,48,61,62,67,68,72,63,73,59,75,81,71,56,63,66,26,62,55,61,64,63,64,53,53,53,56,54,54,54,56,57,57,57,59,60,60,60,59,65,64,64,64,65,65,64,64,64,65,9,24.111507464658473
9697,30,15,646,66,66,600000,1,1,4,3,90.0,63.0,60.0,69.0,34.0,58.0,65,62,52,58,62,67,62,52,57,67,90,90,81,63,80,68,74,78,46,63,58,48,61,64,50,63,39,21,13,63,63,63,67,66,66,66,67,65,65,65,67,60,60,60,67,55,50,50,50,55,51,43,43,43,51,3,23.120623596247853
9698,28,15,556,66,66,650000,1,1,3,3,82.0,63.0,61.0,65.0,39.0,69.0,64,59,52,62,59,65,70,66,53,63,80,83,72,60,71,72,68,68,67,65,74,32,61,61,65,67,33,38,57,63,63,63,65,64,64,64,65,63,63,63,64,58,58,58,64,56,52,52,52,56,55,50,50,50,55,10,24.114038033027075
9699,28,45,414,66,66,650000,1,1,2,3,65.0,53.0,65.0,65.0,61.0,70.0,61,45,55,68,46,63,53,51,66,64,65,65,75,65,69,66,67,75,66,59,72,62,63,69,47,67,60,63,63,59,59,59,62,62,62,62,62,64,64,64,63,65,65,65,63,64,65,65,65,64,63,63,63,63,63,5,20.199469763918696
9700,29,15,546,66,66,625000,1,1,3,3,72.0,65.0,63.0,67.0,46.0,68.0,55,66,52,66,55,65,67,59,63,65,75,69,79,66,78,67,81,83,66,63,51,54,67,66,63,67,44,43,38,64,64,64,65,66,66,66,65,66,66,66,66,64,64,64,66,58,58,58,58,58,56,52,52,52,56,5,23.095409007209515
9701,28,24,358,66,66,675000,0,1,3,3,56.0,65.0,46.0,60.0,30.0,65.0,42,65,60,54,64,58,43,45,33,61,50,61,63,69,53,73,66,46,74,58,65,41,72,48,57,65,12,28,35,64,64,64,58,61,61,61,58,57,57,57,55,51,51,51,55,45,44,44,44,45,44,45,45,45,44,1,22.395413419331717
9702,31,58,427,66,66,575000,1,1,3,2,73.0,63.0,44.0,61.0,30.0,62.0,48,65,63,53,69,59,47,43,33,64,72,73,59,59,59,68,63,60,73,52,39,38,67,34,55,51,31,19,15,64,64,64,59,60,60,60,59,55,55,55,57,49,49,49,57,46,42,42,42,46,44,41,41,41,44,1,23.20054323223178
9703,29,65,584,66,66,625000,1,1,3,3,79.0,63.0,62.0,68.0,45.0,60.0,60,63,58,63,59,67,62,56,59,66,82,77,83,55,80,66,73,73,55,59,51,43,64,64,66,65,41,47,43,63,63,63,65,65,65,65,65,65,65,65,65,61,61,61,65,57,54,54,54,57,56,50,50,50,56,0,23.120623596247853
9705,30,4,625,66,66,625000,1,1,3,2,56.0,66.0,50.0,59.0,24.0,79.0,53,66,70,44,64,56,57,61,42,64,52,60,55,67,56,73,81,66,84,59,83,26,69,57,65,65,14,21,17,65,65,65,58,61,61,61,58,57,57,57,57,52,52,52,57,43,43,43,43,43,41,43,43,43,41,1,24.615210502489816
9706,29,23,474,66,66,625000,1,1,4,3,78.0,65.0,59.0,68.0,43.0,66.0,62,60,33,58,58,69,69,64,49,66,81,76,75,61,72,75,66,70,73,72,44,41,60,62,53,68,49,43,40,62,62,62,65,64,64,64,65,64,64,64,64,59,59,59,64,57,53,53,53,57,54,49,49,49,54,10,25.280109859242845
9707,31,11,358,66,66,475000,0,1,2,2,53.0,43.0,53.0,51.0,66.0,77.0,39,38,59,62,29,47,48,49,58,54,52,54,55,62,57,62,62,84,75,36,78,71,40,51,48,54,64,67,62,51,51,51,48,50,50,50,48,51,51,51,52,57,57,57,52,60,65,65,65,60,61,65,65,65,61,6,22.79035792549306
9708,27,28,490,66,66,575000,0,1,2,3,75.0,66.0,66.0,63.0,61.0,76.0,67,61,62,71,49,64,64,74,62,65,80,71,57,62,54,75,82,71,79,72,71,60,64,59,70,51,58,67,57,66,66,66,65,65,65,65,65,65,65,65,66,64,64,64,66,65,64,64,64,65,64,65,65,65,64,8,22.152646502835537
9709,31,17,328,66,66,475000,0,1,3,2,62.0,39.0,56.0,54.0,63.0,72.0,47,32,60,67,41,47,34,35,58,55,64,61,71,68,64,52,67,76,72,43,67,71,32,57,45,51,56,66,62,50,50,50,51,50,50,50,51,53,53,53,54,58,58,58,54,62,64,64,64,62,63,64,64,64,63,4,23.334120982986768
9710,27,17,509,66,66,675000,1,1,3,3,73.0,58.0,66.0,63.0,46.0,68.0,61,58,49,70,58,60,64,56,62,62,75,72,78,66,72,60,68,71,71,54,58,60,69,68,51,55,45,44,23,62,62,62,64,64,64,64,64,65,65,65,65,63,63,63,65,57,58,58,58,57,55,52,52,52,55,11,20.515086478979924
9711,28,17,536,66,66,550000,0,1,3,2,73.0,41.0,54.0,63.0,63.0,70.0,62,36,52,57,24,60,66,46,50,62,73,73,78,66,65,56,64,74,74,41,54,64,53,45,35,58,62,66,63,54,54,54,58,56,56,56,58,55,55,55,59,56,56,56,59,64,61,61,61,64,64,62,62,62,64,8,25.057360222195385
9712,28,21,548,66,66,650000,1,1,3,3,89.0,65.0,57.0,68.0,30.0,63.0,62,67,49,59,58,68,58,39,48,64,85,92,89,57,67,70,67,74,70,64,31,45,54,59,45,65,28,21,15,64,64,64,66,64,64,64,66,63,63,63,65,57,57,57,65,52,46,46,46,52,49,41,41,41,49,10,24.114038033027075
9713,27,66,559,66,66,575000,1,1,3,2,75.0,52.0,59.0,62.0,62.0,72.0,64,53,58,63,55,62,53,35,56,61,73,77,69,60,65,56,68,78,74,44,59,61,63,56,44,60,62,64,62,60,60,60,61,60,60,60,61,60,60,60,63,60,60,60,63,65,62,62,62,65,64,63,63,63,64,9,20.00656932126967
9714,28,33,311,66,66,650000,1,1,3,3,75.0,54.0,65.0,72.0,52.0,64.0,63,51,43,67,49,73,59,61,64,70,78,73,69,67,75,58,56,64,67,52,59,56,69,66,60,60,57,49,47,61,61,61,67,66,66,66,67,66,66,66,67,64,64,64,67,61,60,60,60,61,59,56,56,56,59,5,23.40750912892856
9715,31,15,577,66,66,475000,1,1,3,2,60.0,55.0,59.0,59.0,68.0,75.0,62,57,73,63,40,58,50,48,59,62,59,61,54,64,56,65,57,62,82,42,79,64,56,52,67,67,68,70,69,61,61,61,58,58,58,58,58,57,57,57,59,59,59,59,59,63,65,65,65,63,65,69,69,69,65,9,22.75156931005181
9716,30,15,567,66,66,525000,1,1,3,2,63.0,33.0,55.0,46.0,68.0,72.0,43,31,63,62,29,38,48,45,59,50,60,65,61,69,58,33,69,77,73,35,65,69,33,55,50,55,70,67,64,46,46,46,48,47,47,47,48,50,50,50,51,55,55,55,51,61,64,64,64,61,63,66,66,66,63,6,22.835009827725745
9717,31,15,646,66,66,475000,1,1,4,2,71.0,56.0,62.0,59.0,63.0,71.0,53,48,57,68,50,57,57,50,65,58,71,71,69,64,68,72,75,73,70,62,68,63,55,62,54,63,64,65,61,59,59,59,59,60,60,60,59,61,61,61,61,62,62,62,61,63,64,64,64,63,63,64,64,64,63,6,22.6421929718633
9718,30,10,480,66,66,600000,1,1,3,3,67.0,59.0,65.0,67.0,64.0,66.0,67,58,62,67,52,66,64,64,63,67,66,68,75,63,72,66,71,67,66,59,62,66,58,60,55,67,64,64,64,62,62,62,64,63,63,63,64,63,63,63,64,63,63,63,64,65,64,64,64,65,65,64,64,64,65,10,22.22222222222222
9719,27,59,194,66,66,575000,0,1,2,2,72.0,51.0,58.0,64.0,63.0,70.0,60,39,62,63,46,63,58,34,56,62,74,70,66,64,72,68,81,75,64,62,74,65,50,54,49,61,60,64,63,57,57,57,59,58,58,58,59,59,59,59,60,60,60,60,60,64,63,63,63,64,64,64,64,64,64,8,25.05930702662969
9720,27,12,489,66,66,675000,1,1,3,3,85.0,63.0,63.0,68.0,35.0,45.0,65,59,56,64,61,65,81,73,57,65,86,85,88,58,84,74,72,66,33,64,43,23,59,58,64,60,37,36,31,62,62,62,66,64,64,64,66,64,64,64,65,58,58,58,65,53,47,47,47,53,51,41,41,41,51,10,21.707923392038097
9721,33,54,259,66,66,400000,1,1,3,3,70.0,67.0,61.0,63.0,42.0,64.0,70,67,66,62,56,66,51,61,57,64,69,70,56,58,38,72,35,65,69,65,57,42,57,57,67,59,29,49,39,64,64,64,64,63,63,63,64,62,62,62,63,59,59,59,63,55,52,52,52,55,54,50,50,50,54,1,24.879178701135288
9722,33,15,483,66,66,290000,0,1,3,2,71.0,43.0,58.0,60.0,64.0,75.0,60,25,62,62,31,60,57,49,58,61,62,78,58,66,59,68,76,66,78,56,76,65,49,52,52,65,61,66,69,55,55,55,56,56,56,56,56,56,56,56,58,59,59,59,58,64,64,64,64,64,65,67,67,67,65,12,24.59321112985787
9723,32,4,479,66,66,500000,1,1,3,3,47.0,67.0,59.0,67.0,57.0,69.0,52,66,83,66,68,65,52,57,51,69,54,41,67,68,74,67,77,73,65,65,72,53,74,64,68,66,55,53,59,67,67,67,63,65,65,65,63,65,65,65,62,63,63,63,62,59,60,60,60,59,59,61,61,61,59,3,21.146319909102385
9724,26,15,530,66,66,700000,0,1,3,3,77.0,55.0,60.0,70.0,28.0,59.0,63,53,35,62,53,71,62,48,52,66,78,77,77,64,78,65,72,66,53,51,60,19,59,61,52,51,25,34,26,59,59,59,65,63,63,63,65,63,63,63,64,57,57,57,64,50,46,46,46,50,47,39,39,39,47,11,22.981901752370007
9725,28,7,481,66,66,650000,1,1,4,3,78.0,62.0,64.0,69.0,27.0,59.0,65,63,47,68,52,68,60,66,62,65,80,76,82,60,76,64,71,68,57,61,52,45,63,59,67,55,21,17,18,62,62,62,66,65,65,65,66,65,65,65,66,60,60,60,66,52,48,48,48,52,48,40,40,40,48,3,20.808561236623067
9726,27,15,557,66,66,575000,1,1,3,3,79.0,62.0,61.0,67.0,61.0,70.0,64,62,54,65,56,66,55,48,54,63,78,79,82,62,75,66,72,77,69,60,64,67,71,62,58,69,60,59,62,64,64,64,66,65,65,65,66,65,65,65,66,63,63,63,66,66,63,63,63,66,65,62,62,62,65,9,21.847008520333322
9727,30,10,453,66,66,525000,0,1,3,2,76.0,30.0,35.0,45.0,63.0,73.0,11,13,64,54,25,27,11,18,53,59,78,75,74,58,77,57,88,74,73,49,70,61,12,22,19,62,62,66,63,43,43,43,40,41,41,41,40,42,42,42,42,47,47,47,42,56,59,59,59,56,59,64,64,64,59,4,22.395413419331717
9728,30,23,454,66,66,625000,1,1,3,3,79.0,61.0,53.0,66.0,28.0,60.0,50,62,61,56,64,63,68,30,47,66,77,80,75,68,81,65,76,66,62,52,45,18,71,59,64,68,36,19,16,65,65,65,64,65,65,65,64,63,63,63,63,55,55,55,63,47,43,43,43,47,45,40,40,40,45,1,22.47120876377142
9729,29,56,382,66,66,625000,1,1,4,2,70.0,63.0,63.0,65.0,36.0,76.0,67,62,47,65,62,67,64,61,57,61,68,72,73,64,63,68,78,89,74,61,62,39,60,61,64,57,41,28,23,62,62,62,64,63,63,63,64,63,63,63,65,60,60,60,65,55,52,52,52,55,51,46,46,46,51,11,22.530864197530864
9730,27,14,582,66,66,675000,1,1,3,3,73.0,56.0,59.0,69.0,45.0,63.0,54,56,40,64,44,68,49,44,56,67,76,71,78,65,82,62,59,70,62,53,57,40,63,64,47,59,47,50,43,60,60,60,64,64,64,64,64,64,64,64,64,61,61,61,64,57,55,55,55,57,55,51,51,51,55,3,23.56663223140496
9731,27,21,478,66,66,575000,0,1,3,3,75.0,65.0,65.0,66.0,62.0,73.0,68,63,64,63,45,65,68,74,61,64,76,75,76,64,76,73,72,75,76,71,65,56,52,64,59,61,64,64,63,64,64,64,65,64,64,64,65,64,64,64,65,63,63,63,65,65,63,63,63,65,65,64,64,64,65,8,22.79035792549306
9732,30,54,259,66,66,600000,1,1,3,2,74.0,62.0,63.0,68.0,40.0,65.0,64,61,57,70,61,69,45,43,61,65,75,73,73,61,71,68,77,74,59,59,65,47,57,62,67,46,32,40,37,63,63,63,65,64,64,64,65,65,65,65,66,62,62,62,66,57,55,55,55,57,54,50,50,50,54,2,22.093170054286073
9733,27,60,522,66,66,650000,0,1,3,3,74.0,63.0,62.0,72.0,52.0,62.0,56,64,42,64,62,69,61,56,57,72,73,74,81,65,81,66,62,73,53,62,73,57,61,68,44,68,48,55,52,63,63,63,66,66,66,66,66,67,67,67,66,64,64,64,66,61,60,60,60,61,60,55,55,55,60,5,22.408786769347305
9734,30,1,412,66,66,525000,1,1,2,2,40.0,29.0,40.0,42.0,65.0,69.0,34,22,63,52,32,35,30,29,39,51,34,45,36,65,45,42,70,49,78,28,69,66,25,31,45,64,64,66,61,42,42,42,38,39,39,39,38,39,39,39,40,45,45,45,40,53,57,57,57,53,55,64,64,64,55,4,23.48347668628339
9735,28,14,444,66,66,650000,1,1,3,3,77.0,59.0,62.0,71.0,55.0,58.0,57,61,45,64,51,69,54,60,59,69,79,76,77,70,84,61,42,86,52,60,43,53,55,67,47,69,58,60,45,61,61,61,66,65,65,65,66,66,66,66,67,65,65,65,67,63,60,60,60,63,61,54,54,54,61,5,24.258674071946118
9736,29,71,421,66,66,550000,1,1,3,2,65.0,46.0,55.0,61.0,63.0,71.0,33,33,68,65,36,58,37,52,66,64,64,65,62,64,62,68,65,75,70,51,71,62,56,58,53,70,61,64,62,57,57,57,55,58,58,58,55,59,59,59,57,62,62,62,57,60,64,64,64,60,61,64,64,64,61,6,22.783308885490467
9737,28,7,632,66,66,575000,0,1,3,2,68.0,26.0,51.0,60.0,62.0,78.0,58,23,61,59,23,61,26,35,45,58,70,66,63,59,63,33,82,79,76,19,79,62,48,44,35,52,61,64,62,48,48,48,53,50,50,50,53,51,51,51,56,53,53,53,56,62,61,61,61,62,63,64,64,64,63,4,23.589835468362743
9738,37,2,584,66,66,130000,1,1,3,3,59.0,60.0,63.0,63.0,65.0,67.0,63,56,62,64,54,64,70,54,65,65,60,58,60,62,57,71,64,62,68,61,71,64,60,61,48,68,65,67,66,61,61,61,61,62,62,62,61,62,62,62,62,63,63,63,62,63,64,64,64,63,63,65,65,65,63,4,23.03875236294896
9739,30,65,377,66,66,525000,1,1,2,2,48.0,26.0,46.0,50.0,64.0,74.0,41,17,72,58,28,42,25,23,54,60,52,45,49,64,49,39,28,60,91,27,58,65,40,36,41,70,60,69,54,46,46,46,44,45,45,45,44,46,46,46,47,52,52,52,47,56,61,61,61,56,58,64,64,64,58,4,23.299799895836188
9740,29,59,173,66,66,525000,1,1,4,2,71.0,40.0,57.0,62.0,66.0,63.0,55,36,54,62,44,60,59,48,58,60,73,69,75,60,74,49,79,78,47,31,81,67,55,50,58,50,69,67,64,52,52,52,57,55,55,55,57,56,56,56,59,58,58,58,59,64,64,64,64,64,65,64,64,64,65,9,23.80869017191275
9741,29,59,262,66,66,525000,1,1,4,2,77.0,29.0,51.0,64.0,65.0,65.0,52,27,58,59,30,63,55,31,50,61,77,77,77,62,75,28,54,80,59,24,65,61,51,43,39,49,67,69,65,49,49,49,56,53,53,53,56,54,54,54,58,55,55,55,58,64,61,61,61,64,65,63,63,63,65,9,22.20408163265306
9742,30,2,412,66,66,625000,1,1,3,3,72.0,63.0,56.0,67.0,30.0,68.0,53,62,62,59,62,66,43,46,55,69,72,72,70,60,64,68,63,66,74,60,55,24,62,60,61,50,23,32,27,64,64,64,63,64,64,64,63,63,63,63,63,58,58,58,63,49,47,47,47,49,46,43,43,43,46,1,23.03875236294896
9743,34,17,540,66,66,240000,1,1,3,2,44.0,23.0,31.0,50.0,66.0,73.0,28,17,70,29,25,45,29,27,26,55,48,41,46,59,69,36,75,62,77,18,75,65,30,42,37,50,67,64,62,41,41,41,39,39,39,39,39,39,39,39,40,42,42,42,40,52,54,54,54,52,55,64,64,64,55,4,23.589835468362743
9744,29,11,552,66,66,625000,1,1,3,2,71.0,63.0,64.0,65.0,53.0,66.0,55,62,56,67,59,63,68,55,62,64,72,70,69,65,73,70,71,81,62,59,58,57,70,68,57,67,55,50,46,64,64,64,64,65,65,65,64,65,65,65,65,64,64,64,65,61,60,60,60,61,59,56,56,56,59,5,21.224489795918366
9746,32,103,340,66,66,525000,1,2,3,2,57.0,67.0,60.0,62.0,22.0,66.0,58,67,63,65,65,60,64,53,47,62,52,61,67,72,66,67,77,66,68,64,60,26,64,63,77,62,17,12,16,64,64,64,62,63,63,63,62,62,62,62,61,57,57,57,61,45,44,44,44,45,42,39,39,39,42,1,23.620287912158062
9747,27,103,227,66,66,575000,1,1,3,2,63.0,30.0,45.0,40.0,64.0,75.0,35,24,68,54,25,26,16,26,46,50,61,65,63,58,60,43,88,81,70,31,75,64,11,48,47,49,65,63,62,41,41,41,40,40,40,40,40,42,42,42,44,48,48,48,44,57,60,60,60,57,60,64,64,64,60,4,22.34351559258195
9748,30,103,61,66,66,525000,1,1,4,3,71.0,51.0,61.0,67.0,60.0,69.0,53,46,50,67,42,65,49,41,63,68,70,71,71,70,71,55,49,80,64,58,71,62,59,64,44,65,59,64,58,58,58,58,62,62,62,62,62,64,64,64,64,65,65,65,64,64,65,65,65,64,64,61,61,61,64,6,22.985397512168742
9749,32,4,283,66,66,400000,0,1,2,2,59.0,53.0,67.0,64.0,67.0,65.0,71,39,60,68,59,62,77,76,67,65,64,55,63,64,71,74,73,62,66,59,64,69,55,56,66,68,68,67,65,58,58,58,60,59,59,59,60,60,60,60,61,63,63,63,61,65,66,66,66,65,65,65,65,65,65,8,24.258674071946118
9750,32,103,227,66,66,500000,0,1,3,3,69.0,63.0,63.0,65.0,34.0,69.0,62,65,60,65,53,63,69,57,60,66,69,69,78,63,63,68,78,74,72,53,52,34,64,62,66,55,23,35,36,64,64,64,64,64,64,64,64,64,64,64,64,60,60,60,64,53,51,51,51,53,51,46,46,46,51,10,22.783308885490467
9751,32,20,545,66,66,425000,1,1,3,2,38.0,47.0,50.0,55.0,66.0,70.0,43,38,72,58,35,53,34,42,59,57,37,39,54,54,62,62,65,64,77,52,59,63,39,41,61,66,64,68,65,51,51,51,47,49,49,49,47,49,49,49,49,54,54,54,49,56,61,61,61,56,58,64,64,64,58,4,23.26869806094183
9752,28,13,344,66,66,575000,1,1,3,3,74.0,67.0,66.0,68.0,61.0,69.0,66,67,60,67,57,67,65,65,65,68,77,71,71,61,80,73,85,79,69,68,54,67,66,65,56,68,57,62,58,66,66,66,67,67,67,67,67,66,66,66,67,66,66,66,67,66,64,64,64,66,65,62,62,62,65,6,21.469150482230148
9753,30,140,436,66,66,500000,1,1,3,2,63.0,44.0,60.0,63.0,64.0,78.0,66,30,62,68,30,66,42,37,59,65,58,67,48,65,43,68,72,73,82,56,76,60,57,51,33,57,63,68,67,57,57,57,59,58,58,58,59,59,59,59,61,61,61,61,61,65,65,65,65,65,65,67,67,67,65,9,24.835646457268076
9754,28,15,556,66,66,650000,0,1,3,3,72.0,49.0,64.0,69.0,31.0,49.0,67,34,49,68,60,67,53,39,53,67,73,71,80,64,80,65,63,63,43,58,41,27,64,70,56,58,25,31,36,57,57,57,64,62,62,62,64,64,64,64,64,60,60,60,64,52,47,47,47,52,49,40,40,40,49,11,22.275309917355372
9755,33,103,340,66,66,300000,1,1,3,2,44.0,32.0,43.0,47.0,64.0,77.0,50,19,61,51,29,42,33,26,31,47,45,44,58,58,67,69,92,79,74,22,80,64,36,38,34,50,63,64,66,44,44,44,42,42,42,42,42,41,41,41,45,46,46,46,45,57,57,57,57,57,59,64,64,64,59,4,25.88057063502083
9756,30,84,563,66,66,525000,1,1,5,3,70.0,52.0,60.0,68.0,65.0,67.0,44,46,52,63,50,70,51,58,59,64,65,74,70,69,63,63,71,71,68,57,58,66,46,72,57,61,70,68,51,58,58,58,61,61,61,61,61,63,63,63,61,64,64,64,61,63,64,64,64,63,62,63,63,63,62,6,24.302487059714682
9757,29,78,616,66,66,650000,1,1,3,3,75.0,67.0,59.0,66.0,24.0,65.0,62,66,48,62,65,64,63,32,53,67,76,75,73,64,73,73,66,61,66,66,68,21,61,60,58,61,24,18,19,64,64,64,65,65,65,65,65,64,64,64,64,57,57,57,64,48,45,45,45,48,44,39,39,39,44,1,23.503556057507403
9758,29,99,432,66,66,0,1,1,3,2,63.0,27.0,54.0,59.0,66.0,71.0,64,25,63,62,30,57,35,31,59,62,64,62,52,62,67,25,59,85,66,27,70,62,39,35,37,48,71,65,66,46,46,46,52,48,48,48,52,50,50,50,56,55,55,55,56,65,63,63,63,65,65,65,65,65,65,4,23.98687034465345
9759,30,6,411,66,66,0,1,1,2,3,67.0,64.0,47.0,63.0,30.0,68.0,51,66,70,52,52,64,46,32,34,68,66,68,55,52,58,69,73,60,75,56,57,20,65,49,73,60,40,17,16,64,64,64,60,61,61,61,60,58,58,58,58,50,50,50,58,44,41,41,41,44,42,42,42,42,42,1,23.66691015339664
9760,30,15,533,66,66,600000,0,1,3,3,73.0,55.0,69.0,65.0,50.0,66.0,70,46,57,67,51,64,75,71,70,64,73,73,71,62,73,73,71,70,62,57,69,52,60,67,54,59,43,51,53,60,60,60,63,62,62,62,63,63,63,63,65,63,63,63,65,61,59,59,59,61,59,56,56,56,59,11,22.6421929718633
9761,30,141,117,66,66,525000,0,1,3,2,64.0,40.0,44.0,42.0,65.0,74.0,32,38,65,59,26,36,28,25,57,44,55,71,52,58,62,53,70,64,82,38,65,59,30,30,42,50,63,71,65,48,48,48,43,44,44,44,43,44,44,44,45,49,49,49,45,56,59,59,59,56,59,65,65,65,59,4,22.877405702193368
9762,29,15,625,66,66,525000,1,1,4,2,71.0,34.0,52.0,61.0,64.0,74.0,65,22,62,59,23,62,36,29,48,60,68,74,62,62,62,58,81,80,73,40,67,62,34,37,30,61,65,64,64,50,50,50,53,51,51,51,53,51,51,51,56,53,53,53,56,65,61,61,61,65,65,64,64,64,65,9,22.54595907041276
9763,28,103,154,66,66,550000,1,1,3,2,77.0,54.0,59.0,62.0,61.0,73.0,64,51,57,66,51,60,50,45,53,63,77,77,70,64,67,52,56,76,76,61,66,59,60,53,59,46,59,63,64,60,60,60,62,61,61,61,62,61,61,61,63,60,60,60,63,65,62,62,62,65,65,63,63,63,65,9,23.334120982986768
9764,34,55,332,66,66,250000,1,1,3,2,57.0,65.0,63.0,56.0,66.0,71.0,58,60,67,65,42,49,64,67,62,62,52,61,66,65,60,75,72,61,75,72,75,66,66,62,61,65,64,67,65,63,63,63,59,61,61,61,59,61,61,61,59,62,62,62,59,62,65,65,65,62,63,67,67,67,63,6,24.074074074074073
9765,28,103,154,66,66,575000,1,1,3,2,61.0,53.0,64.0,64.0,61.0,71.0,59,53,48,66,30,63,55,57,67,65,55,66,71,62,61,56,75,85,71,59,53,60,58,66,37,67,64,64,62,58,58,58,61,60,60,60,61,62,62,62,63,65,65,65,63,64,64,64,64,64,63,62,62,62,63,6,22.857142857142858
9766,29,2,435,66,66,650000,1,1,3,2,72.0,60.0,50.0,64.0,19.0,58.0,57,68,65,56,53,63,43,32,42,62,73,72,75,67,57,52,58,69,70,46,14,11,72,43,61,53,15,15,12,64,64,64,63,62,62,62,63,59,59,59,61,51,51,51,61,44,37,37,37,44,41,33,33,33,41,1,23.334120982986768
9767,29,17,434,66,66,650000,1,1,3,2,63.0,66.0,54.0,62.0,50.0,76.0,33,64,68,62,66,59,50,40,54,65,64,63,68,60,72,70,70,80,80,67,62,59,65,64,65,67,33,58,39,65,65,65,60,63,63,63,60,62,62,62,60,62,62,62,60,55,58,58,58,55,54,57,57,57,54,1,23.589835468362743
9768,28,7,643,66,66,650000,1,1,4,3,69.0,63.0,57.0,66.0,33.0,70.0,60,63,75,62,56,70,47,41,51,68,64,73,51,64,55,68,58,73,82,57,38,34,67,56,63,55,28,25,27,67,67,67,64,65,65,65,64,63,63,63,64,58,58,58,64,52,48,48,48,52,49,45,45,45,49,10,20.564348188254897
9770,28,58,549,66,66,675000,1,1,4,2,76.0,65.0,56.0,61.0,26.0,77.0,42,67,64,61,40,58,68,66,52,63,77,75,65,57,66,71,68,75,81,62,74,12,63,57,68,55,20,28,26,65,65,65,61,63,63,63,61,61,61,61,61,56,56,56,61,46,45,45,45,46,44,43,43,43,44,1,22.305470559638533
9771,28,27,388,66,66,650000,0,1,3,3,75.0,60.0,65.0,67.0,42.0,57.0,63,56,48,66,63,65,67,64,63,65,87,65,75,62,79,64,55,61,59,63,46,32,62,65,68,63,54,40,28,61,61,61,65,64,64,64,65,65,65,65,65,61,61,61,65,54,52,52,52,54,51,47,47,47,51,3,22.91303307000445
9772,29,28,430,66,66,625000,0,1,3,3,87.0,63.0,64.0,64.0,57.0,68.0,71,59,47,62,40,59,70,71,59,67,86,87,82,54,75,71,66,76,65,72,64,60,51,60,59,48,55,61,52,61,61,61,65,62,62,62,65,63,63,63,65,61,61,61,65,64,61,61,61,64,63,58,58,58,63,11,24.913494809688583
9773,30,28,389,66,66,625000,1,1,4,3,80.0,63.0,55.0,71.0,29.0,58.0,55,65,53,57,48,71,54,51,44,70,85,76,80,63,67,67,67,54,60,57,57,26,68,62,70,66,42,14,12,65,65,65,67,66,66,66,67,65,65,65,65,56,56,56,65,47,44,44,44,47,44,40,40,40,44,1,23.620287912158062
